short_name;teamName;nombre_oficial;nombre_transfermarkt;id_transfermarkt;competicion;;
ATH;Athletic Club;Athletic Club de Bilbao;athletic-club;621;LaLiga;;
ATM;Atletico;Club Atletico de Madrid;atletico-madrid;13;LaLiga;;
FCB;Barcelona;Futbol Club Barcelona;fc-barcelona;131;LaLiga;;
CEL;Celta Vigo;RC Celta de Vigo;celta-vigo;940;LaLiga;;
LEG;Leganes;CD Leganes;cd-leganes;1244;LaLiga;;
LPM;Las Palmas;UD Las Palmas;ud-las-palmas;472;LaLiga;;
MLL;Mallorca;RCD Mallorca;rcd-mallorca;237;LaLiga;;
GET;Getafe;Getafe CF;fc-getafe;3709;LaLiga;;
GIR;Girona;GironaCF;fc-girona;12321;LaLiga;;
ESP;Espanyol;RCD Espanyol;espanyol-barcelona;714;LaLiga;;
RVL;Real Valladolid;Real Valladolid;real-valladolid;366;LaLiga;;
BET;Real Betis;Real Betis;real-betis;150;LaLiga;;
RMA;Real Madrid;Real Madrid;real-madrid;418;LaLiga;;
RSO;Real Sociedad;Real Sociedad;real-sociedad;681;LaLiga;;
SEV;Sevilla;Sevilla FC;sevilla-fc;368;LaLiga;;
OSA;Osasuna;CA Osasuna;ca-osasuna;331;LaLiga;;
RAY;Rayo Vallecano;Rayo Vallecano;rayo-vallecano;367;LaLiga;;
VAL;Valencia;Valencia CF;valencia-cf;1049;LaLiga;;
VIL;Villarreal;Villarreal CF;villarreal-cf;1050;LaLiga;;
ALA;Deportivo Alaves;Deportivo Alaves;deportivo-alaves;1108;LaLiga;;
ARS;Arsenal;Arsenal FC;fc-arsenal;11;Premier;;
AST;Aston Villa;Aston Villa;aston-villa;405;Premier;;
BOU;Bournemouth;AFC Bournemouth;afc-bournemouth;989;Premier;;
BRE;Brentford;Brentford FC;fc-brentford;1148;Premier;;
BRI;Brighton;Brighton & Hove Albion;brighton-amp-hove-albion;1237;Premier;;
CHE;Chelsea;Chelsea FC;fc-chelsea;631;Premier;;
CRY;Crystal Palace;Crystal Palace;crystal-palace;873;Premier;;
FUL;Fulham;Fulham FC;fc-fulham;931;Premier;;
EVE;Everton;Everton FC;fc-everton;29;Premier;;
LIV;Liverpool;Liverpool FC;fc-liverpool;31;Premier;;
LEI;Leicester;Leicester City;leicester-city;1003;Premier;;
IPS;Ipswich;Ipswich Town;ipswich-town;677;Premier;;
MCI;Man City;Manchester City;manchester-city;281;Premier;;
MUN;Man Utd;Manchester United;manchester-united;985;Premier;;
NEW;Newcastle;Newcastle United;newcastle-united;762;Premier;;
NOT;Nottingham Forest;Nottingham Forest;nottingham-forest;703;Premier;;
TOT;Tottenham;Tottenham Hotspur;tottenham-hotspur;148;Premier;;
SOU;Southampton;Southampton FC;fc-southampton;180;Premier;;
WES;West Ham;West Ham United;west-ham-unites;379;Premier;;
WOL;Wolves;Wolverhampton Wanderes;wolverhampton-wanderest;543;Premier;;
ATA;Atalanta;Atalanta de Bergamo;atalanta-bergamo;800;Serie A;;
INT;Inter;Inter de Milan;inter-mailand;46;Serie A;;
GEN;Genoa;Genova;genua-cfc;252;Serie A;;    
PAR;Parma Calcio 1913;Parma;parma-calcio-1913;130;Serie A;;
UDI;Udinese;Udinese;udinese-calcio;410;Serie A;;
VER;Verona;Hellas Verona;hellas-verona;276;Serie A;;
JUV;Juventus;Juventus de Turin;juventus-turin;506;Serie A;;
LAZ;Lazio;SS Lazio;lazio-rom;398;Serie A;;
TOR;Torino;Torino FC;fc-turin;416;Serie A;;
BLG;Bologna;Bolonia;fc-bologna;1025;Serie A;;
FIO;Fiorentina;Fiorentina;ac-florenz;430;Serie A;;
CGL;Cagliari;Cagliari;cagliari-calcio;1390;Serie A;;
EMP;Empoli;Empoli FC;fc-empoli;749;Serie A;;
ROM;Roma;AS Roma;as-rom;12;Serie A;;
MLN;AC Milan;AC Milan;ac-mailand;5;Serie A;;
MNZ;Monza;AC Monza;ac-monza;2919;Serie A;;
