jornada;formato_jornada;equipo_local;equipo_visitante;fecha;local_visitante;rival;resultado;altura_media;verticalidad;goles_a_favor;goles_en_contra;min_primer_gol_a_favor;min_primer_gol_en_contra;expulsion_propia;expulsion_rival;min_expulsion_propia;min_expulsion_rival
1ª;1ª_VIL-ATM;Villarreal CF;Atletico de Madrid;19/08/2024;V;Villarreal CF;2-2;50.46;44.27%;2;2;20;18;0;0;0;0
2ª;2ª_ATM-GIR;Atletico de Madrid;Girona FC;25/08/2024;L;Girona FC;3-0;49.84;45.89%;3;0;39;0;0;0;0;0
3ª;3ª_ATM-ESP;Atletico de Madrid;RCD Español;28/08/2024;L;RCD Español;0-0;57.79;41.39%;0;0;0;0;0;0;0;0
4ª;4ª_ATH-ATM;Athletic Club;Atletico de Madrid;31/08/2024;V;Athletic Club;0-1;45.86;44.46%;1;0;92;0;0;0;0;0
5ª;5ª_ATM-VAL;Atletico de Madrid;Valencia CF;15/09/2024;L;Valencia CF;3-0;53.55;49.5%;3;0;39;0;0;0;0;0
6ª;6ª_RAY-ATM;Rayo Vallecano;Atletico de Madrid;22/09/2024;V;Rayo Vallecano;1-1;49.78;53.75%;1;1;49;35;0;0;0;0
7ª;7ª_CEL-ATM;RC Celta de Vigo;Atletico de Madrid;26/09/2024;V;RC Celta de Vigo;0-1;50.35;48.43%;1;0;90;0;0;0;0;0
8ª;8ª_ATM-RMA;Atletico de Madrid;Real Madrid;29/09/2024;L;Real Madrid;1-1;51.2;47.76%;1;1;95;64;1;0;99;0
9ª;9ª_RSO-ATM;Real Sociedad;Atletico de Madrid;06/10/2024;V;Real Sociedad;1-1;44.57;60.38%;1;1;1;84;0;0;0;0
10ª;10ª_ATM-LEG;Atletico de Madrid;CD Leganes;20/10/2024;L;CD Leganes;3-1;56.58;47.14%;3;1;69;34;0;0;0;0
11ª;11ª_BET-ATM;Real Betis;Atletico de Madrid;27/10/2024;V;Real Betis;1-0;51.46;55.94%;0;1;0;4;0;0;0;0
12ª;12ª_ATM-LPM;Atletico de Madrid;UD Las Palmas;03/11/2024;L;UD Las Palmas;2-0;56.69;50.46%;2;0;37;0;0;0;0;0
13ª;13ª_MLL-ATM;RCD Mallorca;Atletico de Madrid;10/11/2024;V;RCD Mallorca;0-1;47.31;42.45%;1;0;61;0;0;0;0;0
