Jornada,Partido,Nombre,Dorsal,Nacionalidad,Posicion,Edad,Min,Gls,Asist,Penaltis,Penaltis_int,Disp.,Disp_a_puerta,Tarj_am,Tarj_rj,Num_toques,Entradas,Intercep.,Bloqueos,xG,xG_sin_penal,xAG,Acc_creacion_tiro,Acc_creacion_gol,Pases_compl,Pases_int,%_pases,Pases_progr,Veces_control,Conducc_progr,Acosos_int,Exito_acosos,Dist_tt_pases,Dist_progr_pases,Pases_cort_cmp,Pases_cort_int,%_cortos,Pases_med_cmp,Pases_med_int,%_medios,Pases_lrg_cmp,Pases_lrg_int,%_largos,xA,Pases_clave,Pases_ult_tercio,Pases_area,Centros,Pases_prof,Pases_en_vivo,Pases_balon_parado,Saques_falta,Pases_lrg,Cambio_orient,Pases_cruzad,Pases_lanz.,Saques_córner,Entradas_gan,Ent_prim_terc,Ent_seg_terc,Ent_ult_terc,DF_acosos,Exit_acosos,%_acosos,Acosos_perd,Bloq_tiro,Bloq_pase,Tkls+intercp,Despejes,Error_+_tiro,Toq_prop_area,Toq_prim_terc,Toq_seg_terc,Toq_ult_terc,Toq_area_riv,Dist_tt_traslado,Dist_tt_prog,Conducc_ult_terc,Conducc_area_riv,Perd_control,Perdida,Pases_recib,Pases_recib_prof,Faltas_com,Faltas_recib,Fueras_de_juego,Penal_recib,Penal_comet,Gol_recib,Recuperac,Duelos_aereos_gan,Duelos_aereos_perd,%_duelos_aereos
1,VIL-ATM,Alexander Sørloth,9,NOR,FW,28,45,1,0,0,0,1,1,0,0,14,1,0,0,0.1,0.1,0.0,0,0,7,11,63.6,0,3,0,0,0,69,16,3,4,75.0,2,2,100.0,0,0,0.0,0.0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,0,0,0,3,5,6,3,7,4,0,0,0,1,9,1,0,0,0,0,0,0,1,2,0,100.0
1,VIL-ATM,Ángel Correa,10,ARG,FW,29,45,0,0,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0.1,2,0,9,11,81.8,1,10,1,3,3,113,11,4,5,80.0,4,5,80.0,0,0,0.0,0.1,1,0,1,0,1,10,1,0,0,0,0,0,0,0,1,0,0,1,3,33.3,2,0,0,1,0,0,0,6,5,7,2,54,25,1,1,3,0,11,3,0,0,0,0,0,0,3,0,0,0.0
1,VIL-ATM,Samuel Lino,12,BRA,AM,24,90,0,0,0,0,3,1,1,0,52,1,0,1,0.7,0.7,0.0,2,0,33,41,80.5,2,32,2,4,2,478,79,19,21,90.5,14,16,87.5,0,1,0.0,0.0,0,0,1,0,2,40,1,0,0,0,0,0,1,0,1,0,0,1,4,25.0,3,0,1,1,0,0,1,15,15,23,6,215,76,4,2,1,3,36,8,3,2,1,0,0,0,7,0,1,0.0
1,VIL-ATM,Antoine Griezmann,7,FRA,AM,33,77,0,1,0,0,1,1,0,0,45,0,0,0,0.1,0.1,0.1,2,1,35,43,81.4,3,28,1,0,0,575,142,20,24,83.3,10,10,100.0,4,5,80.0,0.1,1,4,0,0,3,41,2,0,0,1,4,0,2,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,10,14,21,3,140,81,0,0,1,2,41,8,0,1,0,0,0,0,1,0,0,0.0
1,VIL-ATM,Julián Álvarez,19,ARG,FW,24,13,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,19,5,2,2,100.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0.0
1,VIL-ATM,Koke,6,ESP,CM,32,63,0,0,0,0,0,0,0,0,55,3,0,0,0.0,0.0,0.6,2,0,45,50,90.0,4,31,0,0,0,822,196,17,20,85.0,25,25,100.0,3,4,75.0,0.1,2,1,2,1,4,49,1,1,0,0,1,0,0,2,2,0,1,2,3,66.7,1,0,0,3,0,0,4,20,28,8,0,143,24,0,0,1,0,41,1,1,0,0,0,0,1,5,0,1,0.0
1,VIL-ATM,Rodrigo De Paul,5,ARG,CM,30,27,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,2,0,26,30,86.7,2,23,0,0,0,414,88,10,11,90.9,16,17,94.1,0,2,0.0,0.0,2,2,0,0,2,29,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,22,4,0,110,50,0,0,1,0,26,3,0,0,0,0,0,0,3,0,0,0.0
1,VIL-ATM,Pablo Barrios,8,ESP,CM,21,90,0,1,0,0,2,0,1,0,69,2,2,0,0.0,0.0,0.1,4,2,50,60,83.3,7,45,1,3,3,803,224,24,27,88.9,22,22,100.0,3,5,60.0,0.1,1,3,2,1,7,58,2,2,0,0,2,0,0,0,1,1,0,0,2,0.0,2,0,0,4,0,0,3,17,35,17,1,246,110,1,0,2,1,53,3,2,0,0,0,0,0,3,1,1,50.0
1,VIL-ATM,Reinildo Mandava,23,MOZ,WB,30,53,0,0,0,0,0,0,0,0,40,2,0,1,0.0,0.0,0.0,0,0,26,35,74.3,1,20,0,0,0,385,103,11,13,84.6,14,20,70.0,0,1,0.0,0.0,0,0,1,0,1,27,8,1,0,0,1,7,0,2,2,0,0,0,1,0.0,1,0,1,2,1,0,4,18,16,6,1,37,7,0,0,1,1,26,3,1,1,1,0,0,0,3,0,1,0.0
1,VIL-ATM,Nahuel Molina,16,ARG,WB,26,37,0,0,0,0,0,0,0,0,42,2,0,1,0.0,0.0,0.0,0,0,31,38,81.6,3,20,0,0,0,464,115,19,20,95.0,11,12,91.7,1,2,50.0,0.0,0,1,1,0,3,34,4,0,0,0,3,4,0,2,1,1,0,1,1,100.0,0,0,1,2,0,0,1,8,14,20,0,70,29,0,0,0,0,28,8,0,0,0,0,0,0,2,0,0,0.0
