jornada,posesion,pases,pases_precisos,pases_campo_propio,pases_campo_rival,pases_largos_precisos,centros_precisos,toques_area_rival,regates_exitosos,tiros_totales,tiros_puerta,tiros_palos,tiros_fuera,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_dentro_area,tiros_fuera_area,xG,xG_juego_abierto,xG_balon_parado,xG_sin_penaltis,xG_porteria,ocasiones_claras,ocasiones_claras_falladas,duelos_ganados,duelos_suelo_ganados,duelos_aereos_ganados,entradas_exitosas,interceptaciones,despejes,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,tiros_bloqueados,paradas_portero,faltas_cometidas,corners,fueras_juego,saques_banda,tarj_amar,tarj_roj
1,55,592,519 (88%),304,215,19 (56%),7 (47%),24,8 (73%),9,4,1,4,2,1,2,1,2,1,2,1,7,2,1.11,1.09,0.02,1.11,0.38,3,2,39,31 (47%),8 (57%),9 (53%),2,9,2,1,2,1,2,1,2,1,2,12,3,2,19,3,0
3,62,595,523 (88%),223,300,29 (67%),9 (32%),39,6 (60%),25,7,1,10,0,8,0,8,0,8,0,8,18,7,2.47,1.98,0.48,2.47,1.36,5,5,42,25 (50%),17 (52%),8 (80%),5,15,0,8,0,8,0,8,0,8,1,6,9,6,28,0,0
4,47,524,439 (84%),285,154,28 (52%),3 (30%),15,11 (61%),9,2,0,4,2,3,2,3,2,3,2,3,7,2,1.73,1.67,0.06,1.73,1.41,2,1,53,41 (61%),12 (63%),10 (53%),12,24,2,3,2,3,2,3,2,3,1,9,2,2,16,1,0
5,53,515,438 (85%),246,192,25 (48%),13 (46%),28,5 (50%),14,4,1,9,1,1,1,1,1,1,1,1,14,0,3.24,2.42,0.81,3.24,3.09,6,3,36,24 (48%),12 (57%),6 (50%),5,15,1,1,1,1,1,1,1,1,1,10,7,1,25,1,0
7,42,469,374 (80%),190,184,22 (45%),4 (31%),12,1 (14%),8,2,0,2,0,4,0,4,0,4,0,4,4,4,0.62,0.53,0.09,0.62,1.03,1,0,38,29 (52%),9 (60%),9 (53%),12,9,0,4,0,4,0,4,0,4,4,11,3,0,13,2,0
8,51,570,497 (87%),265,232,33 (61%),3 (17%),20,6 (40%),12,4,0,2,4,6,4,6,4,6,4,6,8,4,1.28,1.13,0.15,1.28,1.56,1,0,40,31 (53%),9 (39%),10 (67%),7,15,4,6,4,6,4,6,4,6,3,11,5,2,19,3,1
9,33,333,243 (73%),152,91,19 (35%),0 (0%),8,3 (25%),4,1,0,3,0,0,0,0,0,0,0,0,2,2,0.54,0.54,0.00,0.54,0.39,1,1,43,23 (37%),20 (65%),6 (55%),5,40,0,0,0,0,0,0,0,0,6,9,1,2,21,2,0
10,63,568,484 (85%),199,285,12 (46%),4 (13%),44,16 (70%),24,9,0,8,1,7,1,7,1,7,1,7,15,9,4.51,4.44,0.07,4.51,3.60,7,4,56,43 (55%),13 (59%),12 (63%),12,7,1,7,1,7,1,7,1,7,1,14,8,0,26,5,0
11,58,533,415 (78%),235,180,37 (60%),5 (21%),24,5 (31%),10,3,2,4,4,3,4,3,4,3,4,3,8,2,0.54,0.20,0.34,0.54,0.30,1,1,37,22 (36%),15 (56%),8 (89%),3,13,4,3,4,3,4,3,4,3,3,4,10,1,26,2,0
12,57,541,455 (84%),212,243,21 (55%),5 (22%),35,7 (37%),15,3,1,8,0,4,0,4,0,4,0,4,11,4,1.63,1.44,0.19,1.63,1.86,3,1,49,35 (44%),14 (40%),12 (80%),7,6,0,4,0,4,0,4,0,4,1,13,9,1,26,1,0
